CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
6.05,1.4,15.79,4.86,0.8,33.79,33.85,Thyme,6399.03,1.0,916.22
3.89,1.47,14.14,4.07,0.74,46.45,29.73,Manuka,7995.48,0.82,802.69
1.65,1.76,20.03,3.29,0.75,34.49,24.48,Blueberry,8492.26,0.82,773.1
4.72,1.52,23.06,7.29,0.8,43.74,21.99,Blueberry,7325.02,0.64,602.62
4.45,1.51,18.43,6.44,0.8,40.68,30.82,Eucalyptus,1626.98,0.64,440.82
8.03,1.33,12.1,4.8,0.72,21.9,38.66,Tupelo,8876.08,0.82,769.55
1.22,1.49,20.5,2.62,0.89,23.91,37.26,Alfalfa,6089.28,0.66,286.27
6.74,1.27,18.4,3.76,0.88,25.29,29.9,Acacia,8480.4,1.0,543.41
5.65,1.31,18.18,3.9,0.9,49.41,28.7,Chestnut,9406.2,1.0,966.61
3.0,1.74,12.28,7.4,0.87,44.58,30.78,Acacia,6131.21,0.66,359.59
3.57,1.52,24.04,3.0,0.89,24.29,34.02,Sunflower,6320.94,0.82,728.14
5.47,1.55,14.72,3.53,0.89,49.72,28.5,Manuka,7719.61,1.0,976.69
7.85,1.36,18.38,5.22,0.76,30.14,33.66,Eucalyptus,5998.48,0.68,473.48
5.22,1.48,20.17,5.99,0.74,37.6,41.52,Chestnut,8832.33,0.97,934.69
8.92,1.34,24.7,3.92,0.81,42.05,35.76,Alfalfa,7216.58,0.82,355.54
7.83,1.31,21.83,3.01,0.72,33.4,23.88,Sage,3593.24,0.82,756.63
2.06,1.26,17.23,3.92,0.78,47.14,36.54,Orange Blossom,6581.5,1.0,251.38
7.63,1.78,22.24,3.03,0.88,40.05,36.37,Acacia,7178.44,0.82,446.59
6.25,1.7,12.83,6.63,0.85,27.18,41.59,Acacia,9343.79,0.95,514.58
7.8,1.83,24.61,4.54,0.89,26.61,41.83,Avocado,5317.09,0.8,778.25
4.99,1.32,17.97,4.73,0.81,29.6,33.77,Sage,4546.62,1.0,926.3
4.15,1.37,18.75,6.22,0.72,30.19,42.37,Lavender,6722.91,0.9,541.59
3.51,1.42,22.31,4.64,0.85,31.02,35.19,Avocado,7772.57,1.0,976.69
1.32,1.43,21.76,4.5,0.88,44.12,23.44,Eucalyptus,9509.16,1.0,694.53
8.94,1.4,20.58,4.74,0.73,35.12,34.48,Acacia,2582.21,1.0,543.41
7.91,1.27,14.01,3.91,0.74,29.6,21.33,Acacia,4657.3,0.8,433.0
9.32,1.34,13.91,4.88,0.79,49.11,21.53,Sunflower,6328.67,0.8,705.97
4.48,1.78,24.11,4.25,0.74,34.97,23.72,Alfalfa,3758.66,0.82,353.38
5.11,1.39,23.36,4.76,0.81,31.49,41.58,Alfalfa,6148.03,1.0,432.62
4.96,1.65,22.04,4.25,0.87,42.31,31.19,Eucalyptus,5648.58,1.0,694.53
6.46,1.51,22.45,3.48,0.86,22.15,30.08,Tupelo,6877.3,1.0,936.38
2.75,1.3,16.77,3.29,0.8,47.49,42.09,Alfalfa,1932.37,0.77,333.03
3.4,1.75,17.21,7.42,0.77,47.99,36.1,Acacia,3471.72,0.87,473.79
4.5,1.3,20.24,4.73,0.7,25.36,38.38,Lavender,2804.84,0.82,496.27
2.27,1.46,17.91,3.83,0.76,33.06,31.37,Chestnut,2578.01,1.0,966.61
5.9,1.29,19.5,6.2,0.81,32.93,42.29,Sage,9935.77,0.94,870.67
5.8,1.65,24.82,2.56,0.89,25.67,20.96,Eucalyptus,7286.54,0.95,657.68
9.25,1.33,15.32,3.54,0.81,42.38,38.0,Buckwheat,7467.94,0.82,562.51
8.82,1.78,17.67,4.71,0.75,26.08,20.11,Avocado,6930.73,1.0,976.69
8.79,1.32,14.74,2.64,0.79,40.59,26.1,Rosemary,9690.28,0.64,479.2
5.03,1.45,16.07,3.86,0.84,30.06,42.54,Blueberry,2103.51,1.0,946.46
8.92,1.6,22.97,3.94,0.74,30.28,21.26,Eucalyptus,6122.75,0.82,567.31
5.95,1.56,17.21,3.79,0.73,32.38,44.1,Rosemary,9985.15,1.0,754.98
4.39,1.7,20.58,7.14,0.88,24.92,33.94,Acacia,7064.24,0.66,359.59
1.38,1.81,21.12,4.32,0.76,49.34,24.54,Sage,6604.72,0.8,738.09
7.32,1.31,17.99,6.98,0.89,41.22,32.79,Buckwheat,9717.41,0.84,578.26
4.68,1.64,16.8,6.45,0.81,21.29,33.75,Avocado,2474.48,0.84,825.17
7.61,1.8,18.26,3.64,0.79,44.74,24.15,Manuka,6824.64,0.8,778.25
7.29,1.33,15.2,4.83,0.76,24.66,29.9,Chestnut,6312.95,0.82,794.4
6.88,1.67,17.82,6.47,0.73,22.95,31.78,Sunflower,1599.8,1.0,885.99
8.7,1.33,21.23,6.92,0.86,20.62,21.58,Thyme,2014.33,0.61,558.62
1.8,1.68,17.01,7.02,0.88,47.84,44.32,Chestnut,6700.31,0.85,818.59
2.75,1.42,14.02,4.81,0.89,31.31,22.51,Chestnut,9010.05,1.0,966.61
7.59,1.83,23.25,2.65,0.79,26.44,32.16,Wildflower,8518.41,0.66,212.98
2.25,1.29,19.55,6.63,0.81,38.25,27.65,Wildflower,6781.73,0.68,219.42
2.02,1.35,22.0,5.21,0.77,39.84,22.74,Blueberry,4224.9,0.66,621.56
4.14,1.84,17.19,5.34,0.88,36.19,26.6,Chestnut,4621.75,0.89,862.12
5.66,1.68,16.66,6.02,0.79,39.32,22.41,Buckwheat,2847.7,0.97,661.84
1.86,1.22,20.94,4.41,0.79,44.0,31.17,Blueberry,2985.35,0.82,777.84
1.58,1.54,24.33,5.73,0.89,32.83,20.53,Rosemary,2339.54,0.63,475.42
7.62,1.49,21.2,6.75,0.75,26.07,20.72,Sunflower,8000.47,0.64,564.12
9.68,1.75,13.48,3.04,0.82,49.42,23.82,Avocado,8584.55,0.8,778.25
9.8,1.31,17.81,6.57,0.85,27.67,22.26,Clover,2863.78,0.85,178.79
8.76,1.61,21.65,3.7,0.88,31.47,32.62,Thyme,2033.5,0.82,746.57
9.92,1.58,22.52,3.74,0.72,34.46,37.1,Rosemary,1746.63,0.82,615.18
8.26,1.64,23.79,7.45,0.72,27.47,21.75,Avocado,2418.07,0.61,595.49
4.19,1.76,20.28,7.16,0.76,35.1,24.31,Buckwheat,5142.85,0.66,449.49
6.14,1.52,21.12,4.23,0.74,44.44,26.93,Heather,8337.31,1.0,926.3
2.77,1.75,23.4,4.26,0.85,28.66,37.86,Orange Blossom,9550.04,0.8,199.8
8.43,1.44,24.53,6.45,0.74,25.35,23.46,Tupelo,6383.53,0.88,821.1
7.9,1.34,23.78,2.9,0.89,33.71,21.22,Thyme,7285.83,0.66,601.7
8.93,1.65,22.31,2.56,0.82,48.03,25.38,Eucalyptus,3697.08,0.66,459.59
5.21,1.53,15.17,2.91,0.84,44.55,37.65,Buckwheat,2794.42,0.97,665.27
2.36,1.29,18.7,5.75,0.86,46.28,29.28,Sunflower,7531.01,0.66,586.28
3.54,1.77,23.07,6.2,0.71,37.22,33.19,Sage,5438.41,0.68,631.49
8.17,1.75,17.23,6.8,0.8,46.72,22.83,Lavender,5439.87,0.85,511.38
5.4,1.7,14.18,5.29,0.89,40.57,28.58,Avocado,4404.58,0.97,949.32
1.58,1.3,17.13,6.43,0.89,47.86,39.61,Sage,8035.45,0.87,807.62
4.51,1.73,15.01,4.02,0.78,40.54,29.39,Blueberry,7540.92,0.82,777.84
9.92,1.32,14.76,6.32,0.8,43.06,21.84,Sage,6429.59,0.64,589.79
2.9,1.67,21.8,4.13,0.9,39.99,36.19,Buckwheat,4334.84,0.84,576.21
7.42,1.36,12.39,4.08,0.86,41.66,22.75,Acacia,4125.71,1.0,543.41
7.86,1.43,23.01,5.02,0.81,46.27,22.78,Heather,3703.49,0.88,812.26
9.45,1.81,16.99,3.8,0.79,49.27,20.36,Clover,7156.2,1.0,211.13
5.45,1.48,20.43,2.7,0.83,38.28,41.12,Manuka,8182.44,0.97,944.43
1.2,1.6,18.8,5.8,0.73,23.85,39.24,Eucalyptus,9416.41,0.66,459.59
6.98,1.55,20.57,6.62,0.85,23.79,41.12,Orange Blossom,6739.88,0.95,238.05
5.17,1.26,17.62,5.77,0.86,20.69,27.82,Thyme,8525.81,1.0,916.22
7.78,1.29,14.36,6.47,0.78,40.4,24.07,Manuka,1562.0,0.61,595.49
4.8,1.83,23.28,3.51,0.87,41.36,38.51,Avocado,2632.49,1.0,976.69
1.63,1.71,16.3,3.96,0.81,29.97,20.52,Manuka,7593.06,0.8,778.25
9.16,1.27,13.15,2.97,0.75,37.98,34.88,Lavender,6906.22,0.68,411.67
6.04,1.37,16.3,4.61,0.75,29.84,44.1,Eucalyptus,2863.48,1.0,694.53
7.55,1.82,13.74,6.71,0.82,49.69,29.98,Manuka,3815.39,0.66,646.3
4.83,1.84,12.65,7.29,0.79,23.71,22.43,Borage,2597.32,0.95,705.39
7.78,1.81,21.96,4.01,0.76,44.21,36.6,Clover,2794.89,0.82,173.51
3.01,1.47,16.37,4.92,0.89,31.3,25.34,Wildflower,3868.21,0.84,270.95
2.75,1.49,21.0,6.11,0.76,32.2,23.1,Sage,7579.9,0.66,608.32
9.7,1.7,18.7,3.58,0.84,38.92,25.44,Orange Blossom,8536.45,0.84,211.63
8.63,1.26,19.99,5.25,0.86,22.6,32.36,Acacia,1551.56,0.64,344.91
4.79,1.23,16.41,5.65,0.9,43.21,36.75,Eucalyptus,4844.13,0.66,459.59
9.47,1.73,17.26,5.74,0.76,35.34,26.08,Eucalyptus,5888.39,0.89,619.45
5.51,1.76,22.97,4.68,0.84,23.62,36.06,Alfalfa,6482.67,1.0,432.62
9.41,1.76,13.3,7.42,0.75,24.4,35.55,Tupelo,4502.16,0.66,619.63
1.35,1.63,18.68,6.51,0.75,36.84,41.67,Buckwheat,7166.31,0.66,449.49
3.65,1.45,20.64,2.53,0.89,22.76,28.23,Chestnut,4596.27,0.9,871.8
3.44,1.57,12.6,3.0,0.71,25.56,30.39,Acacia,7270.68,0.66,359.59
8.03,1.49,19.46,5.8,0.74,45.25,38.97,Buckwheat,6773.96,0.66,452.92
3.41,1.49,15.48,5.93,0.87,29.4,38.54,Thyme,1888.08,0.64,581.54
9.6,1.77,12.44,2.9,0.76,45.61,43.7,Sage,3317.72,0.64,589.79
9.31,1.52,17.13,5.81,0.85,42.65,25.98,Blueberry,6790.97,0.87,825.2
7.05,1.31,20.0,7.4,0.87,31.48,30.64,Lavender,9753.96,0.96,582.69
8.21,1.51,22.34,6.53,0.86,47.79,21.01,Buckwheat,5484.62,0.64,435.8
8.19,1.61,18.1,7.28,0.88,42.17,34.32,Rosemary,3605.98,0.87,658.25
7.7,1.5,15.54,4.76,0.89,33.4,34.7,Acacia,2842.86,0.84,457.47
1.41,1.43,22.95,6.47,0.86,43.96,24.36,Sage,3395.12,0.88,812.26
3.98,1.54,15.01,5.43,0.75,36.65,34.38,Sage,6504.82,0.68,631.49
8.84,1.56,20.21,3.75,0.72,32.14,26.6,Eucalyptus,7646.97,0.84,584.69
4.28,1.32,20.04,4.33,0.86,32.0,34.28,Alfalfa,6826.46,0.84,364.2
3.46,1.29,16.34,3.45,0.9,41.59,31.73,Tupelo,1656.37,0.8,744.25
4.42,1.83,24.77,5.61,0.81,49.11,40.86,Sunflower,6369.5,0.64,564.12
2.37,1.68,20.61,4.31,0.74,20.1,30.35,Thyme,2325.24,0.8,728.23
3.16,1.55,23.36,5.24,0.71,30.54,22.82,Acacia,2641.26,0.66,356.87
2.05,1.85,12.1,4.12,0.8,42.22,26.0,Eucalyptus,2325.98,0.8,552.02
7.35,1.67,12.79,2.93,0.78,36.09,29.83,Chestnut,6518.62,0.68,658.98
7.22,1.71,15.98,4.77,0.8,27.37,30.56,Manuka,2912.94,0.82,802.69
2.98,1.37,22.38,6.11,0.71,38.59,22.6,Thyme,9778.4,0.87,797.0
3.53,1.79,13.28,4.15,0.84,39.26,43.57,Borage,4927.42,0.82,608.46
1.33,1.24,21.54,7.15,0.82,40.11,42.53,Clover,3500.76,0.64,134.43
2.45,1.8,20.75,6.99,0.73,31.03,29.46,Borage,1579.95,0.66,487.71
7.13,1.46,20.84,5.26,0.89,24.52,33.3,Avocado,2036.74,0.94,922.92
1.23,1.24,22.49,7.16,0.78,31.21,28.56,Rosemary,6297.23,0.68,514.7
3.16,1.61,22.54,6.72,0.76,21.08,31.06,Acacia,5755.65,0.66,359.59
1.59,1.82,23.46,2.76,0.88,20.1,27.31,Thyme,6751.49,0.66,606.29
2.27,1.25,12.8,3.28,0.85,30.34,37.14,Sunflower,5994.36,0.84,745.87
5.77,1.74,20.32,6.4,0.88,28.47,32.83,Wildflower,8834.47,0.97,312.83
9.3,1.39,12.44,4.74,0.79,48.41,34.4,Buckwheat,1818.31,1.0,684.45
1.87,1.84,21.75,6.17,0.83,33.82,29.01,Tupelo,8246.1,0.68,638.37
3.84,1.46,24.58,5.99,0.81,42.25,26.15,Tupelo,6216.23,0.66,619.63
7.44,1.85,15.84,6.11,0.72,22.52,23.28,Heather,3649.89,0.64,589.79
1.86,1.3,19.45,6.84,0.86,43.85,39.79,Lavender,8464.19,0.66,399.58
4.55,1.53,15.31,3.02,0.88,36.4,35.62,Thyme,2052.29,0.82,746.57
4.67,1.6,22.27,6.36,0.76,25.89,26.88,Blueberry,3243.17,0.66,626.3
1.31,1.32,14.99,4.34,0.81,40.05,22.12,Manuka,3151.23,0.8,778.25
9.57,1.48,14.26,5.63,0.85,39.13,31.08,Sunflower,1527.15,0.66,580.08
8.86,1.5,20.45,5.76,0.74,41.52,31.11,Rosemary,5382.04,0.66,499.59
9.98,1.41,21.46,2.82,0.83,22.65,20.06,Heather,6261.67,0.88,812.26
7.6,1.75,23.3,3.9,0.88,34.1,27.0,Tupelo,6499.52,0.84,788.3
6.33,1.55,16.6,2.72,0.81,22.06,22.71,Rosemary,2239.23,0.92,694.53
3.92,1.64,23.44,4.82,0.85,21.13,33.99,Lavender,5310.59,0.82,496.27
2.28,1.7,13.13,6.41,0.71,37.07,21.06,Lavender,4608.17,0.66,396.56
5.26,1.36,18.61,5.25,0.82,38.12,30.97,Acacia,6603.45,1.0,543.41
1.72,1.72,17.44,6.77,0.7,36.08,37.72,Blueberry,6177.75,0.89,844.14
1.18,1.37,13.55,4.71,0.84,36.21,23.04,Rosemary,3392.28,1.0,754.98
1.02,1.46,23.46,5.99,0.76,34.98,25.37,Buckwheat,3958.05,0.68,466.62
7.29,1.33,17.08,5.02,0.7,37.06,23.96,Thyme,7307.57,0.87,794.25
3.37,1.48,13.24,4.5,0.81,36.69,28.85,Eucalyptus,3758.83,0.84,584.69
7.42,1.64,19.39,3.77,0.78,32.81,43.84,Avocado,8891.21,0.82,797.8
4.81,1.62,21.66,5.2,0.8,44.58,25.1,Thyme,4633.82,0.97,890.54
7.15,1.86,15.6,7.04,0.8,32.79,29.25,Tupelo,3351.58,0.99,928.88
5.08,1.26,17.76,5.89,0.73,30.33,44.42,Buckwheat,7939.5,1.0,684.45
5.38,1.3,15.32,5.34,0.76,35.74,31.2,Rosemary,8927.49,0.99,748.94
6.18,1.74,18.51,3.85,0.79,29.87,32.06,Blueberry,4412.06,1.0,946.46
1.32,1.44,22.19,4.37,0.76,21.02,40.28,Thyme,3160.74,1.0,916.22
7.22,1.27,12.81,2.67,0.87,27.84,30.78,Acacia,4016.13,0.66,359.59
6.16,1.44,19.71,3.42,0.78,35.83,36.1,Rosemary,6578.6,1.0,754.98
8.13,1.76,18.98,6.9,0.76,47.78,33.2,Acacia,7238.04,0.66,359.59
8.35,1.62,12.29,4.98,0.75,27.72,35.34,Sage,4532.12,0.82,761.27
7.57,1.24,13.27,3.35,0.88,28.7,40.42,Alfalfa,1559.74,0.77,333.03
1.42,1.25,20.96,4.32,0.9,33.57,28.07,Wildflower,8125.83,0.84,270.95
4.15,1.57,13.56,2.79,0.83,41.88,44.89,Acacia,3724.86,0.64,345.99
2.87,1.26,24.37,4.82,0.88,43.32,44.31,Manuka,5794.19,0.8,778.25
6.0,1.84,19.56,3.18,0.87,49.9,25.04,Heather,4623.22,1.0,926.3
8.55,1.28,14.55,4.49,0.88,21.57,25.43,Avocado,6090.57,0.82,802.69
9.23,1.58,22.82,3.17,0.85,33.94,31.45,Acacia,5695.44,0.84,457.47
3.66,1.63,23.69,7.13,0.7,48.42,25.39,Clover,9630.85,0.64,134.0
3.37,1.3,18.69,7.35,0.76,49.58,31.8,Sage,2809.43,0.66,612.96
9.47,1.34,21.82,4.64,0.78,34.77,30.4,Tupelo,5762.89,0.84,788.3
9.43,1.26,22.62,3.86,0.81,44.52,24.56,Sunflower,3462.79,0.8,705.97
4.62,1.51,12.85,5.49,0.7,25.32,25.59,Avocado,7044.26,0.66,646.3
3.44,1.81,13.36,4.77,0.89,24.42,40.69,Buckwheat,9778.13,0.77,526.89
6.43,1.42,24.35,2.6,0.8,22.22,40.55,Blueberry,4603.01,1.0,946.46
